epoch,mean_gini,ema_gini,balance_loss_coeff,layers,routing_observations,layer_gini
41,0.15118488483130932,0.15138455316639796,0.9060910812295774,4,512.0,"{""model.12"": 0.07591629028320312, ""model.3"": 0.3760879933834076, ""model.6"": 0.08628910779953003, ""model.9"": 0.06644614785909653}"
42,0.1510692536830902,0.1513214932697364,0.9060339450211498,4,512.0,"{""model.12"": 0.07590925693511963, ""model.3"": 0.37567031383514404, ""model.6"": 0.08625316619873047, ""model.9"": 0.0664442777633667}"
43,0.15113291703164577,0.15128377802211826,0.9059997743709441,4,512.0,"{""model.12"": 0.07590488344430923, ""model.3"": 0.3759530484676361, ""model.6"": 0.08622286468744278, ""model.9"": 0.06645087152719498}"
44,0.15108056366443634,0.15124313515058188,0.905962952686777,4,512.0,"{""model.12"": 0.0759081020951271, ""model.3"": 0.3757673501968384, ""model.6"": 0.08618831634521484, ""model.9"": 0.06645848602056503}"
45,0.15100417658686638,0.15119534343783878,0.9059196562002011,4,512.0,"{""model.12"": 0.07590726763010025, ""model.3"": 0.3755072057247162, ""model.6"": 0.08614480495452881, ""model.9"": 0.06645742803812027}"
46,0.15094579011201859,0.15114543277267473,0.9058744422759129,4,512.0,"{""model.12"": 0.07589471340179443, ""model.3"": 0.3753361999988556, ""model.6"": 0.0860985517501831, ""model.9"": 0.06645369529724121}"
47,0.1509053185582161,0.151097409929783,0.9058309406544359,4,512.0,"{""model.12"": 0.07587182521820068, ""model.3"": 0.37524810433387756, ""model.6"": 0.08604630082845688, ""model.9"": 0.06645504385232925}"
48,0.1509485114365816,0.15106763023114272,0.9058039656836595,4,512.0,"{""model.12"": 0.07585474103689194, ""model.3"": 0.3754747807979584, ""model.6"": 0.08600852638483047, ""model.9"": 0.06645599752664566}"
49,0.15083670802414417,0.15102144578974303,0.905762132599513,4,512.0,"{""model.12"": 0.07584860175848007, ""model.3"": 0.375076562166214, ""model.6"": 0.08596578985452652, ""model.9"": 0.06645587831735611}"
50,0.15080121718347073,0.15097740006848856,0.9057222385316857,4,512.0,"{""model.12"": 0.07584758847951889, ""model.3"": 0.3749634027481079, ""model.6"": 0.08593765646219254, ""model.9"": 0.06645622104406357}"
51,0.15085622295737267,0.15095316464626538,0.9057002882368063,4,512.0,"{""model.12"": 0.07583880424499512, ""model.3"": 0.3752199411392212, ""model.6"": 0.0859110951423645, ""model.9"": 0.06645505130290985}"
52,0.1507933083921671,0.1509211933954457,0.9056713323286044,4,512.0,"{""model.12"": 0.07581645250320435, ""model.3"": 0.3750190734863281, ""model.6"": 0.08588504791259766, ""model.9"": 0.06645265966653824}"
53,0.15077077969908714,0.150891110656174,0.9056440876638472,4,512.0,"{""model.12"": 0.07579348981380463, ""model.3"": 0.37496697902679443, ""model.6"": 0.0858660340309143, ""model.9"": 0.0664566159248352}"
54,0.15068941190838814,0.15085077090661683,0.9056075549450282,4,512.0,"{""model.12"": 0.07576417922973633, ""model.3"": 0.3746764659881592, ""model.6"": 0.08585605770349503, ""model.9"": 0.06646094471216202}"
55,0.15076911635696888,0.15083443999668725,0.9055927656703784,4,512.0,"{""model.12"": 0.07571599632501602, ""model.3"": 0.3750413954257965, ""model.6"": 0.08585643768310547, ""model.9"": 0.06646263599395752}"
56,0.15066819824278355,0.1508011916459065,0.9055626567049804,4,512.0,"{""model.12"": 0.07566863298416138, ""model.3"": 0.37468576431274414, ""model.6"": 0.08585238456726074, ""model.9"": 0.06646601110696793}"
57,0.15065914392471313,0.1507727821016678,0.9055369304480612,4,512.0,"{""model.12"": 0.07563438266515732, ""model.3"": 0.37467455863952637, ""model.6"": 0.08585721254348755, ""model.9"": 0.0664704218506813}"
58,0.1506529413163662,0.15074881394460748,0.9055152266567892,4,512.0,"{""model.12"": 0.07561146467924118, ""model.3"": 0.37465807795524597, ""model.6"": 0.08586850017309189, ""model.9"": 0.06647372245788574}"
59,0.1505992989987135,0.1507189109554287,0.905488149449612,4,512.0,"{""model.12"": 0.07559913396835327, ""model.3"": 0.3744399845600128, ""model.6"": 0.08587783575057983, ""model.9"": 0.06648024171590805}"
60,0.15057800710201263,0.15069073018474546,0.9054626324552619,4,512.0,"{""model.12"": 0.07558178901672363, ""model.3"": 0.3743767738342285, ""model.6"": 0.08587116003036499, ""model.9"": 0.0664823055267334}"
